project_id,label,close_rate,close_time
14279,Multi,0.9692,183.5004
14287,Multi,0.7349,232.2491
14328,Single,0.8753,162.0907
14329,Multi,0.4846,201.8803
14364,Multi,0.8367,270.9256
14418,Multi,0.9295,71.7233
14441,Multi,0.7625,289.6265
14458,Multi,0.7879,120.6811
14520,Multi,0.5508,77.7541
14550,Multi,0.8529,163.9789
14573,Single,0.7683,107.5194
14575,Multi,0.9109,125.8400
14609,Multi,0.6914,162.6401
14622,Multi,0.8394,157.8023
14642,Multi,0.8879,269.3483
14649,Multi,0.7737,125.1277
14661,Multi,0.9533,110.2754
14669,Multi,0.9357,112.3688
14689,Multi,0.9476,36.6834
14699,Multi,0.7757,166.1457
14714,Multi,0.6256,49.5797
14769,Multi,0.9376,71.3191
14807,Multi,0.5119,260.4574
14825,Multi,0.9531,107.6956
14883,Multi,0.9339,122.3135
14901,Multi,0.7136,119.4155
14952,Multi,0.8717,127.7174
15025,Multi,0.8724,370.1578
15027,Multi,0.9216,328.8450
15132,Multi,0.7140,193.1238
15157,Single,0.9956,52.8132
15225,Multi,0.7991,144.9781
15376,Multi,0.9923,74.2130
15379,Multi,0.9631,48.8694
15433,Multi,0.8206,65.0036
15541,Single,0.9874,335.1725
15545,Multi,0.8821,172.1782
15592,Multi,0.7479,193.3920
15618,Multi,0.9149,112.7000
15628,Multi,0.6260,238.2890
15631,Single,0.8282,91.7766
15664,Multi,0.8800,40.3355
15667,Multi,0.8537,447.8131
15684,Multi,0.6316,38.4167
15685,"No Label",0.7361,108.6085
15717,Multi,0.7378,185.0630
15747,Single,0.8409,106.6351
15752,Multi,0.8298,340.4585
15756,Multi,0.9979,131.6728
15813,Single,0.3892,93.2195
15833,Multi,0.9326,86.4564
15841,Multi,0.9859,66.6343
15939,Multi,0.9919,14.2617
15985,Multi,0.9661,79.1550
16098,Multi,0.9447,63.7716
16144,Multi,0.7684,189.2146
16166,Multi,0.8907,28.1030
16209,Multi,0.5984,79.4910
